assemblydist,address,boro_name,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
56,123 Malcolm X Boulevard,Brooklyn,303,8,36,Patrick Van Doren Pocket Park,DPR,"MULTIPOLYGON (((-73.92996287618797 40.689483575747865, -73.93025499928761 40.68944990375868, -73.93024317559927 40.689390435680636, -73.92995106922481 40.689424194999894, -73.92996287618797 40.689483575747865)))",,,,9:00 am - 2:00 pm,9:00 a.m. - 5:00 p.m.,,9:00 a.m. - 5:00 p.m.,B500-GT001,81,25,Active,11221
55,13 Louis Place,Brooklyn,303,8,41,Marge Matthews Garden,DPR,"MULTIPOLYGON (((-73.91687127666702 40.677424002908026, -73.91687035005582 40.67743386557968, -73.91723213808606 40.67745403589014, -73.91723675782313 40.67740475402595, -73.9168749818858 40.67738458463892, -73.91687127666702 40.677424002908026)))",2:00 p.m. - 5:00 p.m.,5:00p - 8:00p,2:00 p.m. - 5:00 p.m.,2:00 p.m. - 5:00 p.m.,,,,B498-GT001,81,25,Active,11233
60,476 New Jersey Ave,Brooklyn,305,8,42,New Jersey Avenue Community Garden,DPR,"MULTIPOLYGON (((-73.8937836756004 40.66738736517866, -73.89383966753542 40.667604408885715, -73.89421287696035 40.6675489692945, -73.8941992485494 40.66749506355949, -73.89418487622623 40.66743820974823, -73.89417223626491 40.667388208656924, -73.89415796622698 40.66733176467056, -73.8937836756004 40.66738736517866)))",8:00 a.m. - 11:30 a.m. &  2:00 p.m. - 3:30 p.m.,8:00 a.m. - 11:30 a.m. &  2:00 p.m. - 3:30 p.m.,9:00 a.m. - 11:30 a.m.  &  2:00 p.m. - 3:30 p.m.,,8:00 a.m. - 11:30 a.m. &  2:00 p.m. - 3:30 p.m.,8:00 a.m. - 11:30 a.m. &  2:00 p.m. - 3:30 p.m.,8:00 a.m. - 11:30 a.m. &  2:00 p.m. - 3:30 p.m.,B492-GT001,75,19,Active,11207
60,793 Cleveland Street,Brooklyn,305,8,42,Family Community Garden Brooklyn,DPR,"MULTIPOLYGON (((-73.88160852007123 40.66544002175649, -73.88162266181801 40.665433935308826, -73.88161928657962 40.66542931848827, -73.88159975951373 40.665402611578415, -73.88141174700459 40.665146366781684, -73.88139492465854 40.6651536076039, -73.88126260035132 40.66521055755832, -73.88108260167456 40.66528802499001, -73.8811189956073 40.665336827389375, -73.88115379924555 40.66538349571025, -73.8812249970171 40.665478968186356, -73.8812605971635 40.66552670350816, -73.88129619617504 40.665574440618535, -73.88160852007123 40.66544002175649)))",9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,B462-GT001,75,19,Active,11208
57,1029 Union Street,Brooklyn,309,9,35,Union Street Garden and Community Development,DPR,"MULTIPOLYGON (((-73.95932385796552 40.670637054990685, -73.9595053104921 40.670138777336305, -73.95912883929505 40.67005479720693, -73.95914807512347 40.67010204508316, -73.95897991261005 40.670565270750004, -73.95932385796552 40.670637054990685)))",12:00 p.m. - 2:00 p.m.,9:30 a.m. - 11:30 a.m.,12:00 p.m. - 6:00 p.m.,12:00 p.m. - 6:00 p.m.,,,9:30 a.m. - 11:30 a.m.,B459-GT001,71,20,Active,11225
60,790 Blake Avenue,Brooklyn,305,8,42,CAUSA Festival Garden,DPR,"MULTIPOLYGON (((-73.88976613731029 40.66849049226166, -73.88971825418685 40.66830429794121, -73.88969576749989 40.66821685515814, -73.88962569102848 40.66822727085692, -73.88964451485678 40.66830046937492, -73.88958014719108 40.66831003593204, -73.88951292623726 40.66832002745808, -73.88944570526479 40.668330018044365, -73.88937848308953 40.66834000859017, -73.88931178257319 40.66834992215426, -73.88931215646204 40.66835124537251, -73.88936334033237 40.66855035734064, -73.88976613731029 40.66849049226166)))",10:00a - 5:00p,10:00a - 5:00p,10:00a - 5:00p,,10:00a - 5:00p,10:00a - 5:00p,10:00a - 5:00p,B447-GT001,75,19,Active,11207
55,208 Amboy Street,Brooklyn,316,8,41,Amboy Street Garden,DPR,"MULTIPOLYGON (((-73.91430608080714 40.665036429486, -73.91395120428503 40.66509724390614, -73.91395113922826 40.66509725466366, -73.91363114110393 40.665152091338456, -73.91361803058032 40.66517875028708, -73.91368908800685 40.665466840085536, -73.91403349534053 40.66541660152011, -73.91402001603642 40.66536429485954, -73.9140026653689 40.66529695928706, -73.91399185254953 40.665254996145755, -73.91398097738181 40.66521278801616, -73.91433810205686 40.66516069397823, -73.91430608080714 40.665036429486)))",11:00 a.m. -  4:00 p.m.,,11:00 a.m. -  4:00 p.m.,11:00 a.m. -  4:00 p.m.,11:00 a.m. -  4:00 p.m.,,,B440-GT001,73,25,Active,11212
53,110 Walton Street,Brooklyn,301,7,33,George Washington Carver Community Garden,DPR,"MULTIPOLYGON (((-73.94803908489972 40.702906732167456, -73.94804240993867 40.702909699054125, -73.94804261119111 40.70290957487433, -73.94812321274361 40.702859834533506, -73.94824776544326 40.702779606362874, -73.9482425295682 40.70277493305326, -73.94800349751645 40.70256158409433, -73.94793687808215 40.70260474253302, -73.94786871006765 40.702648904302414, -73.94786706331277 40.702649971563716, -73.94780005302647 40.70269338278966, -73.94803908489972 40.702906732167456)))",,,,8:00 a.m. - 1:00 p.m.,9:00 a.m. - 12:00 p.m.,5:00 p.m. - 7:00 p.m.,,B423-GT001,90,18,Active,11206
51,134 Sackett Street,Brooklyn,306,10,39,Human Compass Community Garden,DPR,"MULTIPOLYGON (((-74.00260085772489 40.68496790576711, -74.00265238513846 40.68486087222249, -74.00232868715416 40.684770829648606, -74.00227744908231 40.68487696433097, -74.00260085772489 40.68496790576711)))",9:00 a.m. to 6:00 p.m.,,9:00 a.m. to 6:00 p.m.,9:00 a.m. to 6:00 p.m.,,,,B408-GT001,76,26,Active,11231
42,106 Woodruff Avenue,Brooklyn,314,9,40,Woodruff Avenue Community Garden,DCAS,"MULTIPOLYGON (((-73.96221577033381 40.653433161961104, -73.96220060827025 40.65343362704918, -73.96212234690265 40.653658699094734, -73.96208103033466 40.65377752043526, -73.96206563266009 40.653817908057654, -73.96227153356504 40.653754282199905, -73.96221577033381 40.653433161961104)))",,,,,,,,B389-GT001,70,21,Not GreenThumb,11226
50,478 Graham Avenue,Brooklyn,301,7,33,Lentol Garden,DPR,"MULTIPOLYGON (((-73.9447823949202 40.72010374338004, -73.94495980169572 40.720284693935156, -73.94493921390021 40.72031557157944, -73.94492649307286 40.7203424637246, -73.94491873735498 40.720366482915836, -73.94491447289322 40.72038799675748, -73.94491255571694 40.720414935492876, -73.94491381899168 40.720437368698086, -73.94491731593368 40.720458066788915, -73.94492978634578 40.72048645952615, -73.94494598068717 40.72051583469789, -73.94496333528353 40.72054050976054, -73.94505786104845 40.72064795151037, -73.94526351802295 40.72052419154481, -73.94503270548311 40.72031032035415, -73.94509215914253 40.72027417524239, -73.94515235757791 40.72023757929907, -73.94521025629301 40.72020238252266, -73.94527231492319 40.72016465636116, -73.94532474030244 40.72013278520952, -73.94538240792428 40.7200977278154, -73.94543773084371 40.72006409568874, -73.94549993013209 40.72002628302171, -73.94555644538153 40.71999192649169, -73.94572536791458 40.719889234654765, -73.94554110775012 40.719642505181014, -73.9447823949202 40.72010374338004)))",,,9:00 a.m. - 1:00 p.m.,9:00 a.m. - 1:00 p.m.,5:00 p.m - 7:00 p.m,10:00 a.m. - 12:00 p.m.,,B223U-GT001,94,59,Active,11222
